V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,subj_name,block,card_shown,correct_card,card_chosen_if_perseveration,trial_in_a_sequence,name_of_task,card_shape,card_number,card_color,rt,is_correct,chosen_card,is_error,is_perseverative_error,is_non_perseverative_error
55,1,2,3,color,triangle,2,red,1694,2,2,1,1,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,55,1,2,3,color,triangle,2,red,1694,2,2,1,1,0
41,3,3,4,color,star,3,blue,8349,2,4,1,0,1,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,41,3,3,4,color,star,3,blue,8349,2,4,1,0,1
44,4,3,5,color,star,3,yellow,1172,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,44,4,3,5,color,star,3,yellow,1172,1,4,0,0,0
4,4,1,6,color,circle,1,yellow,1243,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,4,4,1,6,color,circle,1,yellow,1243,1,4,0,0,0
60,4,3,7,color,triangle,3,yellow,1011,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,60,4,3,7,color,triangle,3,yellow,1011,1,4,0,0,0
43,1,3,8,color,star,3,red,1317,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,43,1,3,8,color,star,3,red,1317,1,1,0,0,0
8,4,2,9,color,circle,2,yellow,1475,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,8,4,2,9,color,circle,2,yellow,1475,1,4,0,0,0
18,2,1,10,color,cross,1,green,1241,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,18,2,1,10,color,cross,1,green,1241,1,2,0,0,0
40,4,0,1,shape,star,2,yellow,1523,2,2,1,0,1,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,40,4,0,1,shape,star,2,yellow,1523,2,2,1,0,1
35,4,0,2,shape,star,1,red,1911,2,1,1,0,1,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,35,4,0,2,shape,star,1,red,1911,2,1,1,0,1
52,2,0,3,shape,triangle,1,yellow,1681,2,4,1,0,1,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,52,2,0,3,shape,triangle,1,yellow,1681,2,4,1,0,1
34,4,0,4,shape,star,1,green,1267,2,2,1,0,1,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,34,4,0,4,shape,star,1,green,1267,2,2,1,0,1
33,4,0,5,shape,star,1,blue,1824,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,33,4,0,5,shape,star,1,blue,1824,1,4,0,0,0
1,1,0,6,shape,circle,1,blue,1386,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,1,1,0,6,shape,circle,1,blue,1386,1,1,0,0,0
39,4,0,7,shape,star,2,red,1925,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,39,4,0,7,shape,star,2,red,1925,1,4,0,0,0
7,1,0,8,shape,circle,2,red,1435,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,7,1,0,8,shape,circle,2,red,1435,1,1,0,0,0
56,2,0,9,shape,triangle,2,yellow,1681,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,56,2,0,9,shape,triangle,2,yellow,1681,1,2,0,0,0
14,1,0,10,shape,circle,4,green,1481,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,1,14,1,0,10,shape,circle,4,green,1481,1,1,0,0,0
62,4,2,1,number,triangle,4,green,1151,2,2,1,1,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,62,4,2,1,number,triangle,4,green,1151,2,2,1,1,0
58,3,2,2,number,triangle,3,green,2111,2,2,1,1,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,58,3,2,2,number,triangle,3,green,2111,2,2,1,1,0
26,3,3,3,number,cross,3,green,1320,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,26,3,3,3,number,cross,3,green,1320,1,3,0,0,0
30,4,3,4,number,cross,4,green,1692,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,30,4,3,4,number,cross,4,green,1692,1,4,0,0,0
50,1,2,5,number,triangle,1,green,1952,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,50,1,2,5,number,triangle,1,green,1952,1,1,0,0,0
17,1,3,6,number,cross,1,blue,1105,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,17,1,3,6,number,cross,1,blue,1105,1,1,0,0,0
11,3,1,7,number,circle,3,red,1655,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,11,3,1,7,number,circle,3,red,1655,1,3,0,0,0
53,2,2,8,number,triangle,2,blue,1562,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,53,2,2,8,number,triangle,2,blue,1562,1,2,0,0,0
16,4,1,9,number,circle,4,yellow,1339,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,16,4,1,9,number,circle,4,yellow,1339,1,4,0,0,0
37,2,4,10,number,star,2,blue,1059,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,2,37,2,4,10,number,star,2,blue,1059,1,2,0,0,0
46,2,4,1,color,star,4,green,1220,2,4,1,1,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,46,2,4,1,color,star,4,green,1220,2,4,1,1,0
45,3,4,2,color,star,4,blue,912,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,45,3,4,2,color,star,4,blue,912,1,3,0,0,0
27,1,3,3,color,cross,3,red,1013,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,27,1,3,3,color,cross,3,red,1013,1,1,0,0,0
15,1,4,4,color,circle,4,red,795,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,15,1,4,4,color,circle,4,red,795,1,1,0,0,0
19,1,1,5,color,cross,1,red,946,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,19,1,1,5,color,cross,1,red,946,1,1,0,0,0
57,3,3,6,color,triangle,3,blue,1222,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,57,3,3,6,color,triangle,3,blue,1222,1,3,0,0,0
22,2,2,7,color,cross,2,green,1033,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,22,2,2,7,color,cross,2,green,1033,1,2,0,0,0
49,3,1,8,color,triangle,1,blue,1061,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,49,3,1,8,color,triangle,1,blue,1061,1,3,0,0,0
51,1,1,9,color,triangle,1,red,1069,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,51,1,1,9,color,triangle,1,red,1069,1,1,0,0,0
13,3,4,10,color,circle,4,blue,1030,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,3,13,3,4,10,color,circle,4,blue,1030,1,3,0,0,0
32,3,4,1,shape,cross,4,yellow,1375,2,4,1,1,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,32,3,4,1,shape,cross,4,yellow,1375,2,4,1,1,0
28,3,4,2,shape,cross,3,yellow,1339,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,28,3,4,2,shape,cross,3,yellow,1339,1,3,0,0,0
23,3,1,3,shape,cross,2,red,1303,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,23,3,1,3,shape,cross,2,red,1303,1,3,0,0,0
9,1,3,4,shape,circle,3,blue,1882,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,9,1,3,4,shape,circle,3,blue,1882,1,1,0,0,0
64,2,4,5,shape,triangle,4,yellow,1192,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,64,2,4,5,shape,triangle,4,yellow,1192,1,2,0,0,0
36,4,4,6,shape,star,1,yellow,1583,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,36,4,4,6,shape,star,1,yellow,1583,1,4,0,0,0
63,2,1,7,shape,triangle,4,red,1535,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,63,2,1,7,shape,triangle,4,red,1535,1,2,0,0,0
59,2,1,8,shape,triangle,3,red,1122,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,59,2,1,8,shape,triangle,3,red,1122,1,2,0,0,0
20,3,4,9,shape,cross,1,yellow,1459,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,20,3,4,9,shape,cross,1,yellow,1459,1,3,0,0,0
2,1,2,10,shape,circle,1,green,2333,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,4,2,1,2,10,shape,circle,1,green,2333,1,1,0,0,0
24,2,3,1,number,cross,2,yellow,1602,2,3,1,1,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,24,2,3,1,number,cross,2,yellow,1602,2,3,1,1,0
5,2,1,2,number,circle,2,blue,2112,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,5,2,1,2,number,circle,2,blue,2112,1,2,0,0,0
42,3,4,3,number,star,3,green,1252,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,42,3,4,3,number,star,3,green,1252,1,3,0,0,0
10,3,1,4,number,circle,3,green,1505,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,10,3,1,4,number,circle,3,green,1505,1,3,0,0,0
29,4,3,5,number,cross,4,blue,1608,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,29,4,3,5,number,cross,4,blue,1608,1,4,0,0,0
47,4,4,6,number,star,4,red,1104,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,47,4,4,6,number,star,4,red,1104,1,4,0,0,0
31,4,3,7,number,cross,4,red,1095,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,31,4,3,7,number,cross,4,red,1095,1,4,0,0,0
38,2,4,8,number,star,2,green,1679,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,38,2,4,8,number,star,2,green,1679,1,2,0,0,0
21,2,3,9,number,cross,2,blue,886,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,21,2,3,9,number,cross,2,blue,886,1,2,0,0,0
6,2,1,10,number,circle,2,green,882,1,2,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,5,6,2,1,10,number,circle,2,green,882,1,2,0,0,0
12,4,3,1,color,circle,3,yellow,1166,2,3,1,1,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,6,12,4,3,1,color,circle,3,yellow,1166,2,3,1,1,0
61,3,4,2,color,triangle,4,blue,1881,2,2,1,0,1,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,6,61,3,4,2,color,triangle,4,blue,1881,2,2,1,0,1
55,1,2,3,color,triangle,2,red,1753,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,6,55,1,2,3,color,triangle,2,red,1753,1,1,0,0,0
41,3,3,4,color,star,3,blue,1589,1,3,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,6,41,3,3,4,color,star,3,blue,1589,1,3,0,0,0
44,4,3,5,color,star,3,yellow,1299,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,6,44,4,3,5,color,star,3,yellow,1299,1,4,0,0,0
4,4,1,6,color,circle,1,yellow,1634,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,6,4,4,1,6,color,circle,1,yellow,1634,1,4,0,0,0
60,4,3,7,color,triangle,3,yellow,1275,1,4,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,6,60,4,3,7,color,triangle,3,yellow,1275,1,4,0,0,0
43,1,3,8,color,star,3,red,2120,1,1,0,0,0,wcst_pazienti.2021-01-13-1620.data.cf1e5820-2311-4c41-82d1-cc09cb3c0f75.txt,6,43,1,3,8,color,star,3,red,2120,1,1,0,0,0
